# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-Q03024
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-Q03024	100.00	147	0	0	1	147	1	147	6e-104	285
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-C1DS84
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-C1DS84	65.99	147	50	0	1	147	1	147	2e-75	212
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-Q54456
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-Q54456	68.03	147	47	0	1	147	1	147	2e-68	194
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-Q9RHT2
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-Q9RHT2	66.44	146	49	0	2	147	2	147	1e-66	190
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-Q9ZG94
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-Q9ZG94	66.90	145	48	0	3	147	3	147	4e-64	183
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-O67184
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
ABC1-Q03024	ABC1-O67184	61.22	147	57	0	1	147	1	147	5e-70	198
# BLASTP 2.2.31+
# Query: ABC1-Q03024
# Subject: ABC1-Q9Z3C5
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
